Ad Technology Provider,Privacy URL
Adflare,https://www.adflare.com/privacy-policy/?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=
Adform,https://site.adform.com/uncategorized/product-and-services-privacy-policy/
AdGear,http://adgear.com/privacy
AdGibbon BV,https://www.agcs.works/privacy-policy/
AdGlare Ad Server,https://www.adglare.com/privacy
Adhese,https://adhese.com/privacy-and-cookie-policy
adhood,https://www.theadx.com/en/privacy.php
Adikteev,https://www.adikteev.com/privacy
Adimo,https://adimo.co/privacy-policy
"Aditude, Inc.",https://www.aditude.com/privacy
adjoe GmbH,https://legal.adjoe.zone/programmatic/adjoe-data-privacy-latest.html
Adjust Digital A/S,https://adjust-digital.com/privacy/
Adjust GmbH,https://www.adjust.com/terms/gdpr/
AdKernel,https://adkernel.com/privacy-policy/
AdLib Digital Limited,https://www.ad-lib.io/privacy-policy
adlocal.net,https://resepivida.my/privacy-policy/
ADLOOP,https://adloop.co/en/privacy-policy/
Adloox,http://adloox.com/disclaimer
Admagnetix,https://admagnetix.io/privacy-policy/
ADman Media,https://admanmedia.com/politica.html?setLng=es
Admaster,https://www.admaster.cc/privacy
ADMASTER PRIVATE LIMITED,https://www.admaster.cc/privacy
ADMASTERS SOLUÇÕES DE MARKETING DIGITAL LTDA,https://admasters.media/en/privacy/
Admatic GMBH,https://admatic.de/privacy-policy/
ADMAX,https://admaxmedia.io/privacy-policy/
AdMaxim,http://www.admaxim.com/admaxim-privacy-policy/
Admedia Services LLC,https://www.servicesadmedia.com/politicas-de-privacidad.html
Admedo,https://www.admedo.com/privacy-policy
Admetrics,https://admetrics.io/en/privacy_policy/
Admixer,https://admixer.net/privacy
Admo.TV,https://www.admo.tv/en/privacy-policy
Admost,http://adserver.admost.com/privacypolicy.html
ADn.AI,https://www.adn.ai/fr/politique-de-confidentialite-des-formats-publicitaires-dadn-ai-et-de-son-adserver-pour-google-ads-dv360/
Adnami ApS,https://adnami.io/privacy-policy.html
adnanny.com,http://adserver01.de/
Adnetic,https://adnetic.ru/policies/privacy
Adnuntius AS,https://adnuntius.com/privacy-policy
Adnuro IRE Limited,https://www.adnuro.com/private-policy/
Adobe Advertising Cloud,https://www.adobe.com/privacy/general-data-protection-regulation.html
AdotMob,https://veepee-ad.com/politique-confidentialite-activite-publicitaire
AdPlay,https://rtb.adplay-mobile.com/privacy-policy
AdPlayer.Pro,https://adplayer.pro/privacy
AdPlugg,https://www.adplugg.com/legal/privacy
Adpone,http://www.adpone.com/privacy-policy/
AdPredictive,https://adpredictive.com/privacy
Adprime Media LLC,https://www.adprime.com/privacy-policy
adQuery,https://policy.adquery.io
ADRENALEAD,https://adrenalead.com/en/data-protection-policy
AdRetarget,https://adretarget.me/privacy-policy
AdRetriever,https://adretriever.com/privacy-policy/
Adrino Mobile Sp. z o.o.,https://adrino.pl/Regulaminy/Polityka_prywatnosci.html
Adriver,https://www.adriver.ru/about/privacy-en/
Adrubi Media FZ-LLC,https://adrubi.com/privacy.html
adrule,https://www.adrule.net/de/datenschutz/
Ads Interactive,https://adsinteractive.com/privacy-policy
Adserver.Online,https://adserver.online/privacy
AdServing Factory srl,https://www.adservingfactory.com/privacy-policy.html
ADSGO SL d/b/a ESCALAX,https://escalax.io/legal/privacy-policy
Adsinflow,https://adsinflow.com/privacy.html
Adsmast Sp. z o.o.,https://panel.adsmast.com/public-files/privacy
Adsniper,http://ad-sniper.com/docs/privacy-en.pdf
ADSOCY,https://adsocy.com/politica-de-privacidad-y-aviso-legal/
Adsolutions BV,https://www.adsolutions.com/privacy-policy/
Adsornot Media - FZCO,https://adsornot.com/privacy-policy
AdSpirit AdServer,https://www.adspirit.de/datenschutz00.0.html
ADSpresso,https://adspresso.com.br/en/privacy
adsquare GmbH,https://adsquare.com/privacy/
Adssets,http://adssets.com/policy
ADSTOURS SAS,https://www.clickintext.com/about/charte-rgpd.php
Adstra,https://www.alc.com/privacy-policy/
Adswag B.V.,https://content.adswag.ai/legal/privacy-policy.en.html
Adswizz INC,https://www.adswizz.com/privacy-policy/
Adsyield Inc,https://adsyield.com/privacy-policy/
AdTango GmbH,https://www.adtango.com/privacy
Adtarget Teknoloji A.S.,https://adtarget.com.tr/adtarget-privacy-policy-2020.pdf
adTarget.me,https://adtarget.me/privacy.html
Adtelligence,https://adtelligence.com/en/data-privacy/
Adtelligent Inc.,https://adtelligent.com/terms-and-conditions/
"AdTheorent, Inc.",https://adtheorent.com/privacy-policy
Adthos,https://www.adthos.com/privacy-policy/
AdTile,https://www.adtile.me/privacy-policy/
AdTiming,https://www.adtiming.com/privacy-policy.php
Adtoox,https://www.adtoox.com/en/privacy-policy
AdTrader,https://adtrader.com/privacy.html
AdTriba,https://privacy.adtriba.com/
ADTTRIBUTION Inc,https://adttribution.com/privacy-policy.php
AdTune by Accenture Song,https://www.accenture.com/us-en/support/privacy-policy
AdUnity LTD,https://www.adunity.com/privacy-policy.html
ADUX,https://www.adux.co/en/personal-data/
advanced STORE GmbH,https://www.ad4mat.com/privacy
Advanse,https://advanse.io/advanse-privacy-policy/
Advant Technology Ltd,https://advanttechnology.com/wp-content/uploads/2020/11/Advant-Technology-Ltd-privacy-policy.pdf
Adventive,https://www.adventive.com/legal/privacy-policy
"Adventive Tech, Inc.",https://adventive.com/legal/privacy-policy/
Adventori,https://cool.co/publisher-experiences-home/privacy/
Adverline,https://www.adverline.com/privacy/privacy.html
Advertible,https://www.advertibleinc.com/privacy.html
Adverticum cPlc.,https://adverticum.net/english/privacy-and-data-processing-information/
Advertising.Tech FZ-LLC,https://advertising.tech/privacy-policy/
Advertserve,https://privacy.advertserve.com/
Adverty AB (publ),https://adverty.com/privacy-policy/
"ADVIA MEDIA SOLUTIONS, S.L.",https://advia.tech/privacy-policy
Advibe Media FZE,https://advibe.media/index.php/privacy-policy/
AdView,https://www.adview.com/legal/index#platform-privacy-policy
Advisible AB,https://www.advisible.com/privacy
advolution.control,https://advolution.de/privacy.php
Advrtas,https://advrtas.com/privacy-policy/
Adwatch,http://theadwatch.com/politica-privacidad/
Adways | Weborama NL,https://www.adways.com/en/privacy-policy
Adwise - Your Digital Brain,https://www.adwise.nl/privacy-statement.html
Adwise Agency,https://adwiseagency.com.ua/privacy_en
adWMG,https://adwmg.com/privacy-policy/
"AdXcel, Inc. dba ArtsAI",https://artsai.com/privacy
Adxperience SAS,https://adxperience.com/privacy-policy/
ADYOULIKE SA,https://www.adyoulike.com/pages/privacy_en.php
Adzap,https://privacy.zap.ad/privacy-policy
Adzerk,https://dev.adzerk.com/docs/privacy-policy-customers
Adzymic,http://www.adzymic.co/privacy
AerServ,https://www.aerserv.com/privacy-policy/
Affiliate Future,http://affiliatefuture.co.uk/Legal/privacy
Affinity Global,https://www.affinity.com/privacy-policy/
Affle India,https://www.revx.io/privacy-policy
Afront LTD,https://afront.io/legal/privacy-policy
Agate Systems Limited,https://www.axate.com/privacy-policy
Aidata,https://my.aidata.me/data/uploads/aidata.me-privacy-policy.pdf
Airtory,https://www.airtory.com/privacy-policy
Akamai,http://www.akamai.com/compliance/privacy
AKTYVUS SEKTORIUS,https://www.eskimi.com/privacy-policy
"AlgoriX Technology Pte. Ltd.,",https://www.algorix.co/privacy-policy/
AlikeAudience,https://alikeaudience.com/privacy-policy/
Alion,https://www.alion.nl/privacy/
"Alkami Technology, Inc.",https://www.alkami.com/privacy-policy/
Alke Tech,https://www.alketech.eu/privacy-policy-analytics
Alkemics,https://www.alkemics.com/privacy/
Alkimi,https://www.alkimi.org/legal/privacy-policy
Allegro sp. z o.o.,https://allegro.pl/regulaminy/polityka-plikow-cookies-lDzYv9wn8Tn
Allegro.pl sp. z o. o.,https://allegro.pl/help/for-buyers/account-settings/gdpr-general-information-PDEZ4dlKmUO
Aller Media AS,https://personvern.aller.no/
Alliance Gravity Data Media,https://www.alliancegravity.com/politiquedeprotectiondesdonneespersonnelles
AllMediaDesk GmbH,https://www.allmediadesk.com/en/legal-information/
Alooma,http://alooma.tv/privacypolicy.htm
Alphalyr SAS,https://www.zoho.com/salesiq/cookies-policy.html
Alphonso.tv,https://alphonso.tv/privacy/
Altice Media Ads & Connect,https://www.bfmtv.com/politique-donnees-personnelles/
ALZ Software Ltd (Clickio),http://legal.clickio.com/PrivacyPolicy/
Amagi Corporation,https://www.amagi.com/service-privacy-policy/
Amazon,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=201909010
"Amino Payments, Inc.",https://integralads.com/ias-privacy-data-management/
Amobee,https://www.amobee.com/trust/privacy-policy/
Amp.ai by Scaled Inference,https://scaledinference.com/privacy-policy
Amplified Intelligence,https://www.amplifiedintelligence.com.au/privacy-policy/
Amplified IntelligenceTechnologies,https://www.amplified.co/privacy-policy/
Animmoov Media,https://www.animmoov.com/privacypolicy.html
"ANINPRO-CREATIVE, S.L.",https://bealion.com/wp-content/uploads/2024/06/politica_privacidad_2024.pdf
AniView Ltd,https://www.aniview.com/privacy-policy/
Anonymised,https://www.anonymised.io/privacy
Ansira Partners,https://www.ansira.com/PrivacyPolicy
Answer Media,http://www.answermedia.com/privacy
"Anteriad, LLC",https://www.anteriad.com/privacy-policy
AntVoice,https://www.antvoice.com/fr/politique-de-confidentialite/
AnyClip Inc.,https://anyclip.com/privacy-policy/
Anzu Virtual Reality LTD,https://www.anzu.io/privacy-policy
Apester Ltd,https://apester.com/privacy-policy/
APEX Mobile Media,https://www.apexmobilemedia.com/privacy-policy
APEXFLOW TECH SOLUTIONS LTD,https://apexflowsdk.com/privacy
APNIC,https://labs.apnic.net/privacy.shtml
App Samurai Inc,https://insights.appsamurai.com/offerwall-privacy-policy
App Science®,https://www.appscience.ai/privacy-policy
Appcelerate ,https://appcelerate.ai/privacy-policy/
AppGrowth Inc.,https://s3.amazonaws.com/appgrowth-cloud/legal/Privacy-Policy-Appgrowth.pdf
Appier,https://www.appier.com/privacy_policy/latest/privacy_policy.html
AppLovin Corp.,https://www.applovin.com/privacy
AppMonsta Ltd,https://appmonsta.ai/privacy/
AppNexus (Xandr) Inc,https://www.microsoft.com/en-us/privacy/privacystatement
AppQwest SAS,https://metyks.com/privacy.html
AppsFlyer,https://www.appsflyer.com/privacy-policy/
Appstock LTD.,https://app-stock.com/privacy-policy/
appTV,https://yieldbi.com/privacy-policy/
Arago,https://arago.com/en/privacy-policy/
Arbigo Inc.,http://www.arbigo.com/terms--policy.html
Arcanor Bilgi Teknolojileri ve Hizmetleri A.Ş.,https://www.arcanor.com/privacy
Archon Programmatic House FZC,https://archonph.com/privacy-policy
"ArcSpan Technologies, Inc.",https://www.arcspan.com/privacy-policy/
Arcspire,https://public.arcspire.io/privacy.pdf
Ardenode Media Limited,https://ardenodemedia.com/privacy-policy/
Arkeero,https://arkeero.com/privacy/
Armis,https://armis.tech/en/armis-personal-data-privacy-policy/
Arpeely,https://arpeely.com/yourprivacy
Arrivalist,https://www.arrivalist.com/privacy#gdpr
ARSUS TECHNOLOGIES LTD,https://reklamup.com/privacy-policy.html
Art of Click,http://www.artofclick.com/privacy-policy/
Artefact Germany GmbH,https://aaa.artefact.com/privacy-policy.do
Artsai,https://artsai.com/privacy/
Artworx AS,http://adserve.zone/adserveprivacypolicy.html
Aryel s.r.l.,https://aryel.io/wp-content/uploads/2023/09/AryelSrl_PrivacyPolicy_202309.pdf
AsiaPac Net Media Limited,https://www.asiapacdigital.com/policy
Ask Locala (F.K.A Fusio by S4M),https://asklocala.com/en/privacy-policy-advertising-group/
Assertive Yield B.V.,https://www.assertiveyield.com/privacy/
Astro AdTech LLC,https://astrodigital.media/privacy-policy/
Astromotion,http://astromotiongames.com/gdpr
AT Internet,https://www.atinternet.com/en/company/data-protection/
Atedra,https://www.atedra.com/privacy-policy/
Audalaxy GmbH,https://audalaxy.com/en/privacy-policy
Audience Network,https://audiencenetwork.pl/en/internet-advertising-privacy-policy
Audience Solutions,https://justtag.com/POLITYKA_PRYWATNOSCI.pdf
Audience2Media,https://www.audience2media.com/privacy
AudienceProject,https://privacy.audienceproject.com/
AudienceRate,https://www.audiencerate.com/privacy-policy.html
AudienceRun,https://www.audiencerun.com/privacy-policy
Audiencevalue,https://www.audiencevalue.com/legal.php
audienzz AG,https://audienzz.com/datenschutz
audienzz Germany GmbH,https://www.audienzz.com/de-de/privacy
AuDigent,https://audigent.com/platform-privacy-policy
AUDIOMOB LTD,https://www.audiomob.com/privacy
Audion,https://www.audion.fm/privacy-policy
AudioStack,https://audiostack.ai/legal/privacy-policy
Aunica,https://aunica.com/privacy-policy/
Automatad Inc. (Mile),https://mile.tech/privacy-policy
Avantis Video,https://www.avantisvideo.com/privacy-policy/
Avocet,http://avocet.io/privacy-portal
Awin,https://www.awin.com/gb/privacy
Axel Kaufmann ApS,https://www.kaufmann.dk/kundeservice/persondatapolitik
Axel Springer Teaser Ad GmbH,https://www.adup-tech.com/en/privacy-policy/
Axel Springer Tech GmbH,https://ads.adsrv.as/privacy
Axis Corp LTD,https://axis-marketplace.com/policy/privacy-policy
Axonix,https://axonix.com/privacy-cookie-policy/
Azameo,http://www.azameo.fr/en/privacy-policy-notice/
Azberry B.V. ,https://azberry.com/privacy-policy
Azerion Holding B.V.,https://static.gamedistribution.com/policy/privacy-enduser.html
Azira LLC,https://azira.com/privacy-policy
AZURE TECH PTY LTD,https://www.azurebid.com/privacy-policy
B2BIQ - AdServer,https://b2bmg.net/en/data-privacy
BACKSTAGE TECHNOLOGIES LTD,https://www.bstage.io/pages/privacy-policy
Baidu USA LLC,https://www.mediago.com/policy/
Balloon Labs LLC,https://balloonlabs.ai/privacy/
bam! Interactive marketing GmbH,https://bam-interactive.de/datenschutz/
Bannercloud.io,https://www.bannercloud.io/privacy-policy
Bannerflow,https://www.bannerflow.com/privacy
BannerNow,https://bannernow.com/privacy
Bannerse OÜ,https://bannerse.com/wp-content/uploads/2023/07/Privacy-Policy_2023_6_7_Bannerse.pdf
Bannerwise,https://client.bannerwise.io/privacy-and-policy
BanterX Inc,https://www.banterx.com/privacy-policy.html
Barometric,https://barometric.com/privacy
"Basis Global Technologies, LLC",https://privacy.basis.net/
Batch Media,https://theadex.com/privacy-opt-out/
Bauhof Group AS,https://www.bauhof.ee/et/info/isikuandmete-kaitse-tingimused
BCOVERY SAS,https://bcovery.com/politique-de-confidentialite.html
BDSK Handels GmbH & Co. KG,https://www.xxxlutz.de/c/privacy
BEAPUP SOLUTIONS LTD,https://beapup.com/privacy-policy/
beAround,https://bearound.io/privacidade
Beatgrid Media B.V.,https://beatgrid.co/privacy-policy/
Bedrock Platform Ltd,https://bedrockplatform.com/privacy-policy/
Beeswax,https://www.beeswax.com/privacy.html
Beintoo,https://beintoo.com/privacy-cookie-policy-2/
Belboon,https://belboon.com/en/privacy/
BePixel,https://bepixel.net.br/privacidade.html
Bertelsmann Data Service GmbH,https://dataservices.bertelsmann.de/privacystatement/
bet365,https://help.bet365.com/en/privacy-policy
Betgenius,https://ssl.connextra.com/resources/Connextra/privacy-policy/index-v2.html
Better Ads GmbH,https://www.d3sv.net/privacy/
Better Collective A/S,https://bettercollective.com/privacy-policy/
Between Exchange,https://en.betweenx.com/pdata.pdf
BEYOND X,https://www.cci.co.jp/privacypolicy/
BidBerry SRL,https://www.bidberrymedia.com/service-privacy-policy/
Biddeo Ad Server,https://biddeo.me/privacy-policy.html
Bidease,https://bidease.com/terms-of-use
BIDGENCY GROUP LP,https://bidgency.com/legal
Bidlo,https://bidlo.io/privacy-policy
Bidmachine,https://bidmachine.io/privacy-policy/
Bidmatic Inc,https://bidmatic.io/privacy-policy/
BIDSCUBE SP. Z O.O,https://bidscube.com/privacy/
Bidtellect,https://www.bidtellect.com/gdpr-user-information
Bidtheatre,https://www.bidtheatre.com/privacy-policy
Big Happy,https://bighappy.co/privacy-policy/
Bigabid,https://www.bigabid.com/Legal/
BIGOAds,https://www.bigossp.com/agreement/privacyPolicy
Bildapp LLC,https://bildapp.net/games/privacy.html
Bilendi,https://www.maximiles.com/privacy-policy
Bizible,https://www.bizible.com/gdpr
Blasto sp.z.o.o.,https://blasto.ai/policy/privacy-policy
BLIINK,https://bliink.io/privacy-policy
Blingby,https://blingby.com/privacy
Blismedia,https://blis.com/privacy/
Bliss Point Media,https://tinuiti.com/privacy-policy/
Blockboard,https://myblockboard.com/privacy/
Blockthrough,https://blockthrough.com/privacy-policy/
Blue,https://getblue.io/privacy/
Blue Billywig,https://www.bluebillywig.com/privacy-statement/
"Blue Face co.,Ltd",https://www.clickmon.co.kr/home_new/rt_info.php
"Bluecore, Inc.",https://www.bluecore.com/privacy/
Bluesea Holdings Hong Kong Limited,https://www.blueseasx.com/policy.html
Bluesummit,https://www.bluesummit.de/datenschutz/
bly,https://www.bly.ch/datenschutz/
BMind,https://bmind.es/privacy
BMS,https://www.bluems.com/privacy/en/
Boldwin LTD,https://bold-win.com/privacy-policy/
Bombora,http://bombora.com/privacy
Bonzai,https://www.bonzai.co/privacy-policy/
Booking.com,https://www.booking.com/content/privacy.en-gb.html
Boomplay,https://www.boomplay.com/privacyPolicy
Bose,https://www.bose.co.uk/en_gb/legal/cookie_policy.html
Boston Consulting Group,https://www.bcg.com/en-us/about/privacy-policy.aspx
BotTalk UG (haftungsbeschränkt),https://bottalk.io/privacy
BounceX,https://bouncex.com/privacy/
Brainworkz,https://brainworks.pl/privacy-policy
Brame AG,https://www.brame.io/privacy-policy
Branch,https://branch.io/policies/
Brancher.X,https://brancherx.com/adserver-privacy-policy/
Brand IQ,https://brandiq.com/privacy-policy/
Brand Metrics,https://collector.brandmetrics.com/brandmetrics_privacypolicy.pdf
Brandful,https://ws.brandful.com.br/termos/pt.html
Brandhouse/Subsero A/S,https://subserohost.com/privacy_policy.aspx
Brave People Ltd.,https://www.thebrave.io/privacy-policy/
Bridgeupp LTD,https://bridgeupp.com/PrivacyPolicy.html
Bridgewell,https://www.bridgewell.com/privacy/
BridTV,https://cms.brid.tv/pages/view/privacy
BrightLine Partners LLC,https://cdn-media.brightline.tv/sdk/tcf/privacy_policy.html
Broadlab UK Limited,https://www.broadlab.tv/privacy
Browsi,https://browsi.com/privacy-policy-2/
BSmartData,https://ad.bsmartdata.com/privacy.php?lang=en
Bucksense,https://www.bucksense.com/platform-privacy-policy/
Businessclick Sp. z o.o.,https://go.pl/polityka-prywatnosci/
Butlers GmbH & Co. KG,https://www.butlers.com/policies/privacy-policy
Buzzoola,https://buzzoola.com/en/privacy
Bytelogics,https://beta.facewallet.io/privacy-policy/
C Wire AG,https://www.cwire.com/privacy-policy
C3 Metrics,https://www.c3metrics.com/privacy-policy
Cablato,https://cablato.com/privacy-policy/
Cadent,https://www.cadent.com/services-privacy-policy
Calzedonia,https://world.calzedonia.com/custserv/custserv.jsp?pageName=faq-legal-information#tab1
Capaneo GmbH,https://collection.schober.de/
CapitalData,https://www.capitaldata.fr/politique-de-confidentialite/
Captify,http://www.captify.co.uk/technologies/brand-safety
Carbonatix Ltd.,https://carbonatix.com/privacy-policy/
Caroda s.r.o.,https://www.caroda.io/privacy-statement
Carrefour,https://www.carrefour.es/politica-de-privacidad/mas-info/
Cas.ai,https://cas.ai/privacy-policy-3/
CASTOOLA D.O.O.,https://castoola.com/wp-content/uploads/2022/01/castoola_pp_06.01.2022.pdf
Cauly,https://www.cauly.net/index.html#/home/privacy4
Cavai,https://www.cavai.com/privacy-policy
Cazamba Serviços de Internet Ltda,https://cazamba.com/platform-privacy/
Cedato,https://www.cedato.com/privacy-policy/
Celtra,https://www.celtra.com/privacy-policy/
Chalice AI Limited,https://chalice.ai/privacy
Chalk Digital,https://www.chalkdigital.com/index.php/privacy-policy-2/
Channable,https://www.channable.com/privacy-policy
Channel Four Television Corporation,https://www.channel4.com/4viewers/policies-overview
Channel99,https://www.channel99.com/privacy-policy/
ChannelAdvisor,https://www.channeladvisor.com/privacy-policy/
Chartboost,https://answers.chartboost.com/en-us/articles/200780269
"Chartboost, LLC ",https://docs.chartboost.com/en/legal/privacy-policy/
Cheetah Mobile,https://www.cmcm.com/en/policies/privacy-policy
Cheq,https://www.cheq.ai/privacy
Chocolate Platform,https://chocolateplatform.com/privacy-policy/
CIBLECLIC,https://uzerly.fr/terms-and-conditions/
cignal.io Ltd.,https://cignal.io/Cignal-Privacy-Policy.pdf
Cint,https://www.cint.com/participant-privacy-notice/
"CITISERVI EUROPE, S.L.",https://www.citiservimedia.com/politica-de-privacidad-plataforma-citiservimedia/
Clario,https://www.clar.io/privacy
Claritas LLC,https://claritas.com/privacy-legal/
clean.io,https://clean.io/privacy-policy/
Clever Advertising,https://cleveradvertising.com/privacy
CleverPush GmbH,https://cleverpush.com/en/privacy/
Click2Buy,https://www.click2buy.com/privacy-policy/
Clickadu,https://www.clickadu.com/privacy
Clickagy,https://www.clickagy.com/privacy/
ClickForce,https://www.clickforce.com.tw/edcontent.php?lang=tw&tb=15
ClickOcean,https://noviltd.com/clickoceanprivacypolicy
Clickwise,https://clickwise.net/s/terms/en
Clinch,https://www.clinch.co/clinch-privacy-policy-for-advertisers-consumers-and-ad-viewers
Clipcentric GmbH,https://clipcentric.de/datenschutzerklaerung/
"Clipcentric, Inc.",https://clipcentric.com/privacy.bhtml
Clipflip interactive video,https://www.clipflip.video/data-privacy#tcf
Clipr,https://clipr.co/privacy-terms
Cloud Technologies,http://green.erne.co/assets/PolicyCT.pdf
Cloud4Wi Inc,https://cloud4wi.ai/cloud4wi-privacy-policy-for-individuals/
CloudExchange Inc d/b/a CloudX,https://www.cloudx.io/privacy-policy
Cloudflare,https://www.cloudflare.com/security-policy/
"Cloudinary, Inc.",https://cloudinary.com/privacy
Cluep Inc.,https://cluep.com/privacy/notice
"CMI Marketing, Inc. d/b/a Raptive",https://cafemedia.com/publisher-advertising-privacy-policy/
CND Motion Media GmbH,https://www.cnd-motionmedia.de/media/pdf/datenschutz_b2b.pdf
CoAdvertise,http://www.coadvertise.com/en/gdpr/
Codevelop Technologies,https://codevelop.io/en/privacy
Codigo Sweden AB,https://analytics.codigo.se/privacy
Coinzilla,https://coinzilla.com/privacy-policy/
Collective Audience,https://beop.collectiveaudience.co/privacy-policy
CollegeHumor,https://www.dropout.tv/privacy
Colossus Media LLC,https://colossusmediassp.com/privacy-policy
Combell,https://www.combell.com/nl/over-combell/privacy-policy
Commanders Act,https://www.commandersact.com/en/privacy/
communicationAds,https://www.communicationads.net/en-gb/aboutus/privacy/
comScore,https://www.comscore.com/About-comScore/Privacy-Policy
ConceptX ApS,https://www.conceptx.com/privacy
Confiant Inc.,https://www.confiant.com/privacy
congstar,https://www.congstar.de/fileadmin/files_congstar/documents/Datenschutzhinweise/Datenschutzhinweise_congstar_allgemein.pdf
Connatix,https://connatix.com/privacy-policy/
ConnectAd Demand GmbH,https://connectad.io/privacy/
Connected-Stories,https://www.connected-stories.com/privacy-policy
Connexity,http://connexity.com/gb/privacy-policy/
Conrad,https://www.conrad.de/de/ueber-conrad/rechtliches/datenschutz
Constant Contact,https://www.constantcontact.com/legal/privacy-statement
"Constellation Software, Inc",https://www.helloconstellation.com/privacy-policy
Consumable,https://consumable.com/privacy-policy/
Content Ignite,https://www.contentignite.com/gdpr/
Content Performance Group GmbH,https://www.copegroup.com/datenschutzerklaerung-vermarktung/
Contimo APS,https://www.contimo.io/privacy-policy
CONTXTFUL,https://www.contxtful.com/Privacy/
Converge-Digital,https://converge-digital.com/privacy-policy/
Conversive,https://conversive.nl/privacy/
Convo Ink,https://www.convo.ink/privacy-policy
Copper6 LTD,https://www.copper6.com/privacy
Coresibo LTD (DBA Tredio),https://tredio.io/privacy-policy/
Cortex,https://www.cortexmg.com/privacy-policy
Coupang,https://www.coupang.com/np/policies/privacy
coupling media,https://coupling.media/datenschutz
Covatic Ltd,https://covatic.com/privacy-policy/
CPG Digital GmbH,https://www.cpg-digital.com/datenschutz
CRACKLE TECHNOLOGIES PTE. LTD.,https://crackle.tech/privacy
"Craftsman Plus, Inc.",https://craftsmanplus.com/privacy-policy
Creatives,https://creatives.no/personvern/
Creatopy INC,https://www.creatopy.com/legal-information/privacy-policy/
Crimtan,https://crimtan.com/privacy-policy/
Criteo,https://www.criteo.com/privacy
